孔采维奇	M. Kontsevich	(1964-)
孔多塞	M. de Condorcet	(1743-1794)
孔涅	A. Connes	(1947-)
库恩	H. W. Kuhn	(1925-2014)
库尔贝克	S. Kullback	(1907-1994)
库拉	T. ibn Qurra	(约826-901)
库拉托夫斯基	K. Kuratowski	(1896-1980)
库朗	R. Courant	(1888-1972)
库洛什	A. G. Kurosh	(1908-1971)
库默尔	E. E. Kummer	(1810-1893)
库珀	S. B. Cooper	(1943-2015)
库珀	W. W. Cooper	(1914-2012)
库普曼斯	T. C. Koopmans	(1910-1985)
库塔	M. W. Kutta	(1867-1944)
奎伦	D. G. Quillen	(1940-2011)
拉奥	C. R. Rao	(1920-)
拉道	J. C. R. Radau	(1835-1911)
拉德马赫	H. Rademacher	(1892-1969)
拉德任斯卡娅	O. A. Ladyzhenskaya	(1922-2004)
拉东	J. Radon	(1887-1956)
拉多	R. Rado	(1906-1989)
拉夫连季耶夫	M. A. Lavrent'ev	(1900-1980)
拉弗森	J. Raphson	(1648-1715)
拉福格	L. Lafforgue	(1966-)
拉盖尔	E. N. Laguerre	(1834-1886)
拉格朗日	J. L. Lagrange	(1736-1813)
拉克鲁瓦	S. F. Lacroix	(1765-1843)
拉克斯	P. D. Lax	(1926-)
拉朗德	J. de Lalande 	(1732-1807)
拉马努金	S. I. Ramanujan	(1887-1920)
拉梅	G. Lamé	(1795-1870)
拉姆齐	F. P. Ramsey	(1903-1930)
拉普拉斯	P. -S. M. de Laplace	(1749-1827)
拉特纳	M. Ratner	(1938-2017)
拉伊尔	P. de La Hire	(1640-1718)
拉兹博罗夫	A. A. Razborov	(1963-)
莱布勒	R. A. Leibler	(1914-2003)
莱布尼茨	G. W. Leibniz	(1646-1716)
莱夫谢茨	S. Lefschetz	(1884-1972)
莱默	D. H. Lehmer	(1905-1991)
莱默	D. N. Lehmer	(1867-1938)
莱维	B. Levi	(1875-1961)
莱维	P. P. Levy 	(1886-1971)
莱文森	N. Levinson	(1912-1975)
赖德迈斯特	K. W. F. Reidemeister	(1893-1971)
兰	S. Lang	(1927-2005)
兰伯特	J. H. Lambert	(1728-1777)
兰彻斯特	F. W. Lanchester	(1868-1946)
兰道	E. G. H. Landau	(1877-1938)
兰登	J. Landen	(1719-1790)
兰金	R. A. Rankin	(1915-2001)
兰乔斯	C. Lanczos	(1893-1974)
朗兰兹	R. P. Langlands 	(1936-)
朗斯基	H. J. M. Wronski	(1776-1853)
勒贝格	H. L. Lebesgue	(1875-1941)
勒尔	H. Röhrl	(1927-2014)
勒雷	J. Leray	(1906-1998)
勒让德	A. -M. Legendre	(1752-1833)
勒维耶	U. J. J. Le Verrier 	(1811-1877)
雷蒂库斯	G. J. Rheticus	(1514-1574)
雷恩	C. Wren	(1632-1723)
雷尼	A. Rényi	(1921-1970)
雷诺	O. Reynolds	(1842-1912)
雷－乔杜里	D. K. Ray-Chaudhuri	(1933-)
雷乔蒙塔努斯	J. Regiomontanus	(1436-1476)
黎曼	G. F. B. Riemann	(1826-1866)
里茨	W. Ritz	(1878-1909)
里卡蒂	J. F. Ricatti	(1676-1754)
里奇	C. G. Ricci	(1853-1925)
里斯	F. Riesz	(1880-1956)
里特	J. F. Ritt	(1893-1951)
李	S. Lie	(1842-1899)
